X,Y,Z
5.0,3.0,2.0
5.097886967409693,2.381966011250105,2.0
5.381966011250105,1.8244294954150537,2.0
5.824429495415053,1.381966011250105,2.0
6.381966011250105,1.097886967409693,2.0
7.0,1.0,2.0
7.618033988749895,1.0978869674096927,2.0
8.175570504584947,1.381966011250105,2.0
8.618033988749895,1.8244294954150535,2.0
8.902113032590307,2.381966011250105,2.0
9.0,2.9999999999999996,2.0
8.902113032590307,3.6180339887498945,2.0
8.618033988749895,4.175570504584946,2.0
8.175570504584947,4.618033988749895,2.0
7.618033988749895,4.902113032590307,2.0
7.0,5.0,2.0
6.381966011250105,4.902113032590307,2.0
5.824429495415054,4.618033988749895,2.0
5.381966011250105,4.175570504584947,2.0
5.097886967409693,3.6180339887498953,2.0
